序号,认定点代码,题型代码,题号,试题（题干）。,试题（选项A）,试题（选项B）,试题（选项C）,试题（选项D）,试题（选项E）,【图】及位置,正确答案,难度代码,一致性代码,,,
132,A-B-A-007,C（判断题）,,气温、气压、湿度和风速都是气象中的基本要素。 ( ),正确,错误,,,,,A,2（易）,5（好）,,,
133,A-B-A-007,C（判断题）,,在气象学中，露点温度是指空气中的水汽达到饱和并开始凝结成水滴的温度。 ( ),正确,错误,,,,,A,2（易）,5（好）,,,
134,A-B-A-007,G（多选题）,,气象中的基本要素有（）。,气温,气压,云量,风速,降水量,,ABDE,3（中）,5（好）,,,
135,A-B-A-007,G（多选题）,,能见度的影响因素包括（）。,雾,雨,雪,地面坡度,太阳辐射强度,,ABCE,3（中）,5（好）,,,
136,A-B-A-008,B（单选题）,,气象参数对飞行影响最大的是（）。,温度,湿度,风速,气压,,,C,2（易）,5（好）,,,
137,A-B-A-008,B（单选题）,,（）不属于影响飞机起降的主要气象因素。,风速和风向,空气的密度,大气压力,空中的水汽含量,,,D,2（易）,5（好）,,,
138,A-B-A-008,B（单选题）,,如果无人机在飞行过程中遭遇雷暴，应该（）。,继续飞行,尝试降落,返回起点,增加高度,,,B,2（易）,5（好）,,,
139,A-B-A-008,B（单选题）,,无人机飞行的最佳天气条件是（）。,多云且有雾,晴朗且微风,高温且多湿,阴天且有小雨,,,B,2（易）,5（好）,,,
140,A-B-A-008,C（判断题）,,降水只会影响飞机的能见度，对飞机的其他性能没有影响。（）,正确,错误,,,,,B,3（中）,5（好）,,,
141,A-B-A-008,C（判断题）,,顺风飞行时，风速越大对飞行越有利。（）,正确,错误,,,,,B,2（易）,5（好）,,,
142,A-B-A-008,G（多选题）,,风向和风速对飞行的影响包括（ ）。,影响飞机的起飞和降落方向,影响飞机的地速,影响飞机的燃油消耗,影响飞机在空中的稳定性,影响飞机的飞行高度,,ABC,3（中）,5（好）,,,
143,A-B-A-008,G（多选题）,,风切变对飞行可能产生的影响有（）。,增加起飞和降落的难度,导致飞行路径偏离,增加飞行阻力,减少飞行阻力,影响飞行速度,,ABC,3（中）,5（好）,,,
144,A-B-A-009,B（单选题）,,雷暴天气对无人机飞行的主要威胁是（）。,能见度降低,强风和雷电,动力效率下降,通讯中断,,,B,3（中）,5（好）,,,
145,A-B-A-009,B（单选题）,,低空风切变是指在短时间内风速和风向的急剧变化，这对无人机飞行的影响主要是（）。,导航困难,能源消耗增加,控制难度加大，可能导致失控,发动机或电机过热,,,C,3（中）,5（好）,,,
146,A-B-A-009,B（单选题）,,无人机在（）天气现象中飞行，机身容易出现抖动和不稳定的飞行状态。,沙尘天气,高湿度天气,顺风飞行,轻雾天气,,,A,3（中）,5（好）,,,
147,A-B-A-009,B（单选题）,,（）会导致无人机的电池续航能力急剧下降。,低温天气,小雪天气,轻度雾霾天气,微风天气,,,A,3（中）,5（好）,,,
148,A-B-A-009,C（判断题）,,飞机积冰主要发生在含有过冷水滴的云层中。 ( ),正确,错误,,,,,A,3（中）,5（好）,,,
149,A-B-A-009,C（判断题）,,高空激流通常出现在对流层顶部或平流层底部，对飞行影响较小。 ( ),正确,错误,,,,,B,3（中）,5（好）,,,
150,A-B-A-009,G（多选题）,,低空风切变可能导致的飞行问题包括（）。,起飞和着陆困难,飞行轨迹偏离,飞机失控,燃油消耗增加,发动机失效,,ABCD,3（中）,5（好）,,,
151,A-B-A-009,G（多选题）,,飞机积冰的危害有（）。,改变飞机气动特性,增加飞行阻力,影响乘客舒适度,破坏飞机表面,导致飞行员视线受阻,,ABDE,3（中）,5（好）,,,
152,A-B-A-010,B（单选题）,,理想气体状态方程PV=nRT中的R代表（）。,气体的密度,气体常数,气体的压力,气体的体积,,,B,3（中）,5（好）,,,
153,A-B-A-010,B（单选题）,,大气的粘性主要是由于（ ）。,大气分子的不规则热运动和相互碰撞,大气中的杂质颗粒,地球引力对大气分子的作用,太阳辐射对大气的影响,,,A,3（中）,5（好）,,,
154,A-B-A-010,B（单选题）,,大气的低密度特性使得在高海拔地区（）。,声音传播速度更快,飞行器需要更大的升力才能飞行,气压变化对天气影响较小,更容易出现雷电现象,,,B,3（中）,5（好）,,,
155,A-B-A-010,B（单选题）,,理想气体状态方程中，当体积V保持不变时，压力P与温度T的关系是（）。,成正比,成反比,无关,先增加后减少,,,A,3（中）,5（好）,,,
156,A-B-A-010,C（判断题）,,大气在任何情况下都可以被看作是不可压缩流体。（）,正确,错误,,,,,B,3（中）,5（好）,,,
157,A-B-A-010,C（判断题）,,根据基本气态方程，当温度不变时，气体的压力和体积成反比，这一规律在所有大气环境下都严格成立。（）,正确,错误,,,,,B,3（中）,5（好）,,,
158,A-B-A-010,G（多选题）,,对于流体基本知识的理解，正确的是（ ）。,流体包括液体和气体,流体的流动可以分为层流和紊流,流体的流速越大，静压越大,流体在管道中流动时，管道截面积越小，流速越大（不可压缩流体理想情况）,流体的密度是其单位体积的质量，是一个常量,,ABD,3（中）,5（好）,,,
159,A-B-A-010,G（多选题）,,伯努利原理的应用实例有（）。,飞机机翼设计,风力发电机叶片设计,水翼船设计,高速列车头部形状设计,空调系统设计,,ABCD,3（中）,5（好）,,,
160,A-B-A-011,B（单选题）,,根据伯努利原理，流体速度增加时，（ ）会减小。,温度,密度,压强,粘性,,,C,3（中）,5（好）,,,
161,A-B-A-011,B（单选题）,,升力是如何产生的（）。,通过增加飞机的重量,通过减少飞机的阻力,通过机翼上下表面气流速度的差异,通过增加发动机推力,,,C,3（中）,5（好）,,,
162,A-B-A-011,B（单选题）,,飞行速度对升力的影响是（）。,与飞行速度成正比,与飞行速度的平方成正比,与飞行速度成反比,升力与飞行速度无关,,,B,3（中）,5（好）,,,
163,A-B-A-011,B（单选题）,,升力公式“L=1/2ρV²ClS中的Cl代表（）。,空气密度,飞行速度,机翼面积,升力系数,,,D,3（中）,5（好）,,,
164,A-B-A-011,C（判断题）,,飞机的升力主要来源于机翼上下表面的压力差。 ( ),正确,错误,,,,,A,2（易）,5（好）,,,
165,A-B-A-011,C（判断题）,,其他条件不变的情况下，增加飞机的速度可以增加升力。 ( ),正确,错误,,,,,A,3（中）,5（好）,,,
166,A-B-A-011,G（多选题）,,影响飞机升力的因素包括（）。,机翼面积,空气密度,飞行高度,攻角,机翼形状,,ABDE,3（中）,5（好）,,,
167,A-B-A-011,G（多选题）,,升力公式 L=1/2ρV²ClS 中的各符号含义为（）。,L 代表升力,ρ 代表空气阻力,V 代表飞行速度,Cl 代表升力系数,S 代表机翼面积,,ACDE,3（中）,5（好）,,,
168,A-B-A-012,B（单选题）,,多旋翼无人机在空中悬停主要依靠()力来平衡。,重力和电磁力,向心力和重力,重力和升力,升力和摩擦力,,,C,3（中）,5（好）,,,
169,A-B-A-012,B（单选题）,,多旋翼无人机通过改变（）部件的速度来实现上升和下降。,机身,起落架,螺旋桨,导航灯,,,C,3（中）,5（好）,,,
170,A-B-A-012,B（单选题）,,多旋翼无人机的方向控制主要依靠（）传感器来检测旋转运动。,陀螺仪校准,气压计,温度传感器,加速度计用于姿态感知,,,A,3（中）,5（好）,,,
171,A-B-A-012,B（单选题）,,多旋翼无人机在没有GPS信号的情况下，通常依靠（）技术来保持悬停位置。,光流传感器,红外传感器,激光雷达和摄像头,声波传感器,,,A,3（中）,5（好）,,,
172,A-B-A-012,C（判断题）,,多旋翼无人机主要依靠改变每个旋翼的转速来实现飞行姿态的控制。（）,正确,错误,,,,,A,3（中）,5（好）,,,
173,A-B-A-012,C（判断题）,,多旋翼无人机在悬停时，所有旋翼的转速是相同的，并且不会发生变化。（）,正确,错误,,,,,B,3（中）,5（好）,,,
174,A-B-A-012,G（多选题）,,四旋翼无人机的基本运动方式包括（）。,垂直上升、下降,前后翻滚,左右侧飞,旋转（偏航）,悬停,,ACDE,3（中）,5（好）,,,
175,A-B-A-012,G（多选题）,,多旋翼无人机在飞行过程中，实现向前飞行的方法是（ ）。,减小前方旋翼的转速,增大后方旋翼的转速,增大后方旋翼的扭矩,减小前方旋翼的扭矩,改变所有旋翼的桨距,,AB,3（中）,5（好）,,,
176,A-B-A-013,B（单选题）,,固定翼无人机的升力主要来源于机翼物理特性中的（）。,重量,形状,颜色,材质,,,B,3（中）,5（好）,,,
177,A-B-A-013,B（单选题）,,固定翼无人机的前进动力主要来自（）。,副翼的控制力,机翼产生的升力,发动机推力,尾翼控制力,,,C,3（中）,4（较好）,,,
178,A-B-A-013,B（单选题）,,在固定翼无人机飞行中，升降舵控制飞机的（）。,俯仰姿态,滚转姿态,偏航姿态,飞行速度,,,A,2（易）,5（好）,,,
179,A-B-A-013,B（单选题）,,固定翼无人机在飞行中，机翼的迎角与升力的关系是（）。,增加迎角增加升力,减少迎角减少升力,迎角不变，升力不变,迎角与升力无关,,,A,2（易）,5（好）,,,
180,A-B-A-013,C（判断题）,,固定翼无人机是依靠机翼上下表面的压力差产生升力来飞行的，只要机翼形状合适，就能一直保持飞行。（）,正确,错误,,,,,B,3（中）,5（好）,,,
181,A-B-A-013,C（判断题）,,平凸翼翼型固定翼无人机在水平飞行时，机翼上下表面的气流速度是相同的。（）,正确,错误,,,,,B,3（中）,5（好）,,,
182,A-B-A-013,G（多选题）,,固定翼无人机在飞行过程中，通过操纵（ ）可以改变飞行方向。,方向舵,升降舵,副翼,襟翼,扰流板,,AC,3（中）,5（好）,,,
183,A-B-A-013,G（多选题）,,影响固定翼无人机飞行稳定性的因素有（）。,机翼设计,机身颜色,飞控系统性能,外界风力干扰,发动机功率,,ACDE,3（中）,5（好）,,,
184,A-B-A-014,B（单选题）,,无人直升机的升力主要由（）产生。,机身,主旋翼,尾桨,发动机,,,B,3（中）,5（好）,,,
185,A-B-A-014,B（单选题）,,无人直升机的尾桨主要作用是（ ）。,提供额外升力,控制直升机的俯仰,平衡主旋翼产生的反扭矩,控制直升机的滚转,,,C,3（中）,5（好）,,,
186,A-B-A-014,B（单选题）,,在无人直升机飞行中，要使直升机上升，应该（ ）。,增大主旋翼的桨距,减小主旋翼的桨距,增大尾桨的桨距,减小尾桨的桨距,,,A,3（中）,5（好）,,,
187,A-B-A-014,B（单选题）,,无人直升机的前进、后退和左右移动主要通过（）实现。,改变旋翼的总距杆位置,改变自动倾斜器的周期变距杆位置,改变尾桨的螺距角,改变旋翼的转速,,,B,3（中）,5（好）,,,
188,A-B-A-014,C（判断题）,,无人直升机依靠旋翼产生升力来飞行。 ( ),正确,错误,,,,,A,3（中）,5（好）,,,
189,A-B-A-014,C（判断题）,,无人直升机可以实现垂直起降和悬停。 ( ),正确,错误,,,,,A,3（中）,5（好）,,,
190,A-B-A-014,G（多选题）,,无人直升机控制飞行姿态的方式包括（ ）。,改变主旋翼的桨距,调整主旋翼的转速,改变尾桨的桨距,调整尾桨的转速,移动无人机的重心位置,,ABCD,3（中）,5（好）,,,
191,A-B-A-014,G（多选题）,,无人直升机升力产生的条件包括（）。,旋翼转速,旋翼面积,空气密度,攻角,旋翼形状,,ABCE,3（中）,5（好）,,,
192,A-B-A-015,B（单选题）,,（）不是无人机通信的主要技术类型。,卫星通信,地面站通信,WiFi通信,5G通信,,,C,3（中）,5（好）,,,
193,A-B-A-015,B（单选题）,,无人机通信主要用于长距离、高速度的数据传输的类型是（）。,蓝牙通信,Wi-Fi通信,5G通信,光纤通信,,,C,3（中）,3（中）,,,
194,A-B-A-015,B（单选题）,,（）通信方式适用于短距离无人机操作。,Wi-Fi,卫星通信,光纤通信,5G通信,,,A,3（中）,5（好）,,,
195,A-B-A-015,B（单选题）,,无人机与遥控器之间的通信通常是通过（）进行的。,无线电波,电缆连接,蓝牙,红外线,,,A,3（中）,5（好）,,,
196,A-B-A-015,C（判断题）,,遥控器的频率范围决定了其控制距离。（）,正确,错误,,,,,A,2（易）,5（好）,,,
197,A-B-A-015,C（判断题）,,遥控器的天线长度不影响其控制效果。（）,正确,错误,,,,,B,2（易）,5（好）,,,
198,A-B-A-015,G（多选题）,,属于无人机通信系统的组成部分的是（）。,发射机,接收机,调制解调器,信号放大器,电子调速器,,ABCD,3（中）,5（好）,,,
199,A-B-A-015,G（多选题）,,影响无人机通信系统通信距离的因素有（ ）。,发射功率,工作频段,天线增益,环境干扰,信号编码方式,,ABCD,3（中）,5（好）,,,
200,A-B-A-016,B（单选题）,,在无人机长距离无线数据传输中，（）参数对于保持稳定的通信链路最为关键。,调制方式,发射功率,频率稳定性,数据编码方式,,,C,3（中）,5（好）,,,
201,A-B-A-016,B（单选题）,,（）可以实现远距离的数据传输的无线数据传输技术。,WiFi,Zigbee,LoRa,NFC,,,C,3（中）,5（好）,,,
